Date,open,high,low,close,volume,prevclose,pct_change_in_close,fed_rate,prev_fed_rate,pct_change_in_fed_rate,5_yr,7_yr,10_yr,20_yr,30_yr,prev_10_yr,pct_change_in_10_yr,label
2016-12-06,221.2200,221.7400,220.6600,221.7,59877400,221.0,0.3167420814479586,0.41,0.41,0.0,0.04,0.23,0.44,0.79,0.94,0.45,-2.2727272727272747,0
2016-12-07,221.5200,224.6700,221.3800,224.6,110738100,221.7,1.3080739738385232,0.41,0.41,0.0,0.02,0.22,0.42,0.76,0.91,0.44,-4.761904761904766,0
2016-12-08,224.5700,225.7000,224.2600,225.15,99714400,224.6,0.24487978628673704,0.41,0.41,0.0,0.0,0.22,0.45,0.82,0.98,0.42,6.666666666666672,2
2016-12-09,225.4100,226.5300,225.3700,226.51,88005800,225.15,0.6040417499444749,0.41,0.41,0.0,0.06,0.28,0.51,0.88,1.04,0.45,11.76470588235294,2
2016-12-12,226.4000,226.9600,225.7600,226.25,102016100,226.51,-0.11478521919561649,0.41,0.41,0.0,0.04,0.27,0.51,0.89,1.04,0.51,0.0,0
2016-12-13,227.0200,228.3400,227.0000,227.76,110477500,226.25,0.667403314917123,0.41,0.41,0.0,0.06,0.25,0.53,0.98,1.04,0.51,3.7735849056603805,2
2016-12-14,227.4100,228.2300,225.3700,225.88,142501800,227.76,-0.82543027748507,0.41,0.41,0.0,0.2,0.4,0.6,0.92,1.07,0.53,11.666666666666659,0
2016-12-15,226.1600,227.8100,225.8900,226.81,124972600,225.88,0.411723038781657,0.66,0.41,37.87878787878788,0.32,0.52,0.7,1.0,1.15,0.6,14.285714285714283,3
2016-12-16,226.0100,226.0800,224.6700,225.04,156420200,226.81,-0.780388871742873,0.66,0.66,0.0,0.32,0.54,0.74,1.05,1.2,0.7,5.405405405405411,0
2016-12-19,225.2500,226.0200,225.0800,225.53,90341100,225.04,0.21773906861002895,0.66,0.66,0.0,0.29,0.51,0.68,0.98,1.13,0.74,-8.823529411764696,0
2016-12-20,226.1500,226.5700,225.8800,226.4,89838800,225.53,0.38575799228484214,0.66,0.66,0.0,0.26,0.49,0.67,0.98,1.14,0.68,-1.492537313432837,0
2016-12-21,226.2500,226.4500,225.7700,225.77,67909000,226.4,-0.2782685512367471,0.66,0.66,0.0,0.3,0.52,0.64,0.93,1.1,0.67,-4.687500000000004,-2
2016-12-22,225.6000,225.7400,224.9200,225.38,56219100,225.77,-0.17274217123622038,0.66,0.66,0.0,0.18,0.41,0.6,0.91,1.06,0.64,-6.666666666666673,-2
